gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000146.1	0	0
A.satnudSFS1A01G000147.1	0	0
A.satnudSFS1A01G000148.1	10.472	23.005
A.satnudSFS1A01G000149.1	0	0
A.satnudSFS1A01G000150.1	0	0
A.satnudSFS1A01G000151.1	0	0
A.satnudSFS1A01G000152.1	4	4
A.satnudSFS1A01G000153.1	0	0
A.satnudSFS1A01G000154.1	9.253	5.004
A.satnudSFS1A01G000155.1	14	8
A.satnudSFS1A01G000156.1	36	16
A.satnudSFS1A01G000157.1	0	5
A.satnudSFS1A01G000158.1	222.361	150.122
A.satnudSFS1A01G000159.1	506.852	261.335
A.satnudSFS1A01G000160.1	207.712	229.046
A.satnudSFS1A01G000161.1	2	0
A.satnudSFS1A01G000162.1	0	0
A.satnudSFS1A01G000163.1	0	0
A.satnudSFS1A01G000164.1	99.993	96.938
A.satnudSFS1A01G000165.1	0	0
A.satnudSFS1A01G000166.1	606.646	775.74
A.satnudSFS1A01G000167.1	13	7
A.satnudSFS1A01G000168.1	0	0
A.satnudSFS1A01G000169.1	0	0
A.satnudSFS1A01G000170.1	8	10.728
A.satnudSFS1A01G000171.1	3.081	3.272
A.satnudSFS1A01G000172.1	0	0
A.satnudSFS1A01G000173.1	319.025	333.822
A.satnudSFS1A01G000174.1	0	0
A.satnudSFS1A01G000175.1	425.156	298.558
A.satnudSFS1A01G000176.1	117.162	93.107
A.satnudSFS1A01G000177.1	0	0
A.satnudSFS1A01G000178.1	13	6
A.satnudSFS1A01G000179.1	0	0
A.satnudSFS1A01G000180.1	0	0
A.satnudSFS1A01G000181.1	0	0
A.satnudSFS1A01G000182.1	0	13
A.satnudSFS1A01G000183.1	0	1
A.satnudSFS1A01G000184.1	565.996	327.329
A.satnudSFS1A01G000185.1	2	0
A.satnudSFS1A01G000186.1	15	22
A.satnudSFS1A01G000187.1	5854.296	8497.511
A.satnudSFS1A01G000188.1	16	0
A.satnudSFS1A01G000189.1	3	0
A.satnudSFS1A01G000190.1	0	0
A.satnudSFS1A01G000191.1	0	0
A.satnudSFS1A01G000192.1	162.997	177
A.satnudSFS1A01G000193.1	0	0
A.satnudSFS1A01G000194.1	200.656	186
A.satnudSFS1A01G000195.1	0	0
A.satnudSFS1A01G000196.1	82.442	45.158
A.satnudSFS1A01G000197.1	0	0
A.satnudSFS1A01G000198.1	0	0
A.satnudSFS1A01G000199.1	0	0
A.satnudSFS1A01G000200.1	0	0
A.satnudSFS1A01G000201.1	0	0
A.satnudSFS1A01G000202.1	5	9
A.satnudSFS1A01G000203.1	0	0
A.satnudSFS1A01G000204.1	540.23	602.792
A.satnudSFS1A01G000205.1	32	30.001
